device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 30000 of 84500 pairs per epoch (10.7 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 8e-05, epoch counter from 0)
resumed from weights/driftsense_p6_last.pt (epoch 0, best 0.299px)
  e4 [700/1875] loss 0.334 focal 0.236 off 0.0976 | batch median err 1.4px | 76.0 img/s | lr 7.99e-05
  e4 [750/1875] loss 0.334 focal 0.237 off 0.0973 | batch median err 1.5px | 76.1 img/s | lr 7.99e-05
  e4 [800/1875] loss 0.336 focal 0.239 off 0.0973 | batch median err 0.9px | 76.1 img/s | lr 8.00e-05
  e4 [850/1875] loss 0.339 focal 0.241 off 0.0972 | batch median err 1.1px | 76.1 img/s | lr 8.00e-05
  e4 [900/1875] loss 0.338 focal 0.241 off 0.0970 | batch median err 1.3px | 76.1 img/s | lr 8.00e-05
  e4 [950/1875] loss 0.338 focal 0.241 off 0.0968 | batch median err 1.2px | 76.1 img/s | lr 8.00e-05
  e4 [1000/1875] loss 0.339 focal 0.242 off 0.0970 | batch median err 1.8px | 76.1 img/s | lr 8.00e-05
  e4 [1050/1875] loss 0.337 focal 0.241 off 0.0966 | batch median err 1.3px | 76.1 img/s | lr 8.00e-05
  e4 [1100/1875] loss 0.338 focal 0.242 off 0.0966 | batch median err 1.3px | 76.1 img/s | lr 8.00e-05
  e4 [1150/1875] loss 0.339 focal 0.243 off 0.0964 | batch median err 1.3px | 76.1 img/s | lr 8.00e-05
  e4 [1200/1875] loss 0.339 focal 0.243 off 0.0965 | batch median err 1.2px | 76.1 img/s | lr 8.00e-05
  e4 [1250/1875] loss 0.338 focal 0.242 off 0.0963 | batch median err 1.7px | 76.1 img/s | lr 8.00e-05
  e4 [1300/1875] loss 0.338 focal 0.242 off 0.0967 | batch median err 1.6px | 76.2 img/s | lr 8.00e-05
