device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e5 [350/1250] loss 0.399 focal 0.292 off 0.1064 | batch median err 1.6px | 75.8 img/s | lr 9.98e-05
  e5 [400/1250] loss 0.399 focal 0.292 off 0.1073 | batch median err 1.3px | 75.8 img/s | lr 9.97e-05
  e5 [450/1250] loss 0.397 focal 0.290 off 0.1075 | batch median err 1.5px | 75.9 img/s | lr 9.97e-05
  e5 [500/1250] loss 0.400 focal 0.293 off 0.1075 | batch median err 0.9px | 76.0 img/s | lr 9.97e-05
  e5 [550/1250] loss 0.399 focal 0.291 off 0.1077 | batch median err 1.2px | 76.0 img/s | lr 9.97e-05
  e5 [600/1250] loss 0.399 focal 0.291 off 0.1081 | batch median err 1.3px | 76.0 img/s | lr 9.96e-05
  e5 [650/1250] loss 0.401 focal 0.293 off 0.1080 | batch median err 2.5px | 76.1 img/s | lr 9.96e-05
  e5 [700/1250] loss 0.400 focal 0.292 off 0.1079 | batch median err 1.7px | 76.1 img/s | lr 9.96e-05
  e5 [750/1250] loss 0.405 focal 0.297 off 0.1086 | batch median err 2.3px | 76.1 img/s | lr 9.95e-05
  e5 [800/1250] loss 0.407 focal 0.298 off 0.1086 | batch median err 1.3px | 76.1 img/s | lr 9.95e-05
  e5 [850/1250] loss 0.408 focal 0.300 off 0.1083 | batch median err 1.1px | 76.1 img/s | lr 9.95e-05
  e5 [900/1250] loss 0.407 focal 0.299 off 0.1085 | batch median err 1.6px | 76.1 img/s | lr 9.94e-05
  e5 [950/1250] loss 0.408 focal 0.299 off 0.1084 | batch median err 1.3px | 76.2 img/s | lr 9.94e-05
  e5 [1000/1250] loss 0.409 focal 0.301 off 0.1089 | batch median err 1.5px | 76.2 img/s | lr 9.94e-05
  e5 [1050/1250] loss 0.409 focal 0.301 off 0.1086 | batch median err 1.4px | 76.2 img/s | lr 9.93e-05
  e5 [1100/1250] loss 0.409 focal 0.301 off 0.1084 | batch median err 2.7px | 76.2 img/s | lr 9.93e-05
  e5 [1150/1250] loss 0.410 focal 0.301 off 0.1085 | batch median err 1.0px | 76.2 img/s | lr 9.92e-05
  e5 [1200/1250] loss 0.409 focal 0.301 off 0.1084 | batch median err 2.0px | 76.2 img/s | lr 9.92e-05
  e5 [1250/1250] loss 0.410 focal 0.301 off 0.1090 | batch median err 1.5px | 76.2 img/s | lr 9.91e-05
epoch 5: loss 0.4100 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e6 [50/1250] loss 0.386 focal 0.271 off 0.1149 | batch median err 1.6px | 72.9 img/s | lr 9.91e-05
  e6 [100/1250] loss 0.401 focal 0.287 off 0.1140 | batch median err 2.6px | 74.7 img/s | lr 9.91e-05
  e6 [150/1250] loss 0.404 focal 0.291 off 0.1133 | batch median err 1.1px | 75.2 img/s | lr 9.90e-05
  e6 [200/1250] loss 0.409 focal 0.294 off 0.1150 | batch median err 1.7px | 75.6 img/s | lr 9.90e-05
